,Qs,HeatStockTemperature,ElectricConsumption,SolarPVProduction
506,19.279,60.0,0.27,0.0
507,19.093,60.0,0.27,0.0
508,19.09,60.0,0.27,0.0
509,19.087,60.0,0.27,0.0
510,17.609,60.0,2.164,0.0
511,18.073,60.0,1.855,0.0
512,19.18,60.0,0.711,0.051
513,18.818,60.0,0.541,0.222
514,18.386,60.0,0.541,0.393
515,16.952,60.0,1.461,0.513
516,15.237,60.0,3.029,0.581
517,16.883,60.0,1.345,0.546
518,17.939,60.0,0.541,0.461
519,18.321,60.0,0.541,0.307
520,17.664,60.0,1.461,0.121
521,16.437,60.0,3.091,0.0
522,17.425,60.0,2.411,0.0
523,18.252,60.0,2.133,0.0
524,17.949,60.0,1.855,0.0
525,17.321,60.0,2.318,0.0
526,17.322,60.0,2.318,0.0
527,19.221,60.0,0.27,0.0
528,19.683,60.0,0.27,0.0
529,20.082,60.0,0.27,0.0
530,20.572,60.0,0.27,0.0
531,20.884,60.0,0.27,0.0
532,21.088,60.0,0.27,0.0
533,21.384,60.0,0.27,0.0
534,20.114,60.0,2.164,0.0
535,20.783,60.0,1.855,0.0
536,21.813,60.0,0.711,0.052
537,20.468,60.0,0.541,0.688
538,19.34,60.0,0.541,1.201
539,17.284,60.0,1.461,1.575
540,15.291,60.0,3.029,1.746
541,17.011,60.0,1.345,1.68
542,18.29,60.0,0.541,1.443
543,19.263,60.0,0.541,0.965
544,19.592,60.0,1.461,0.38
545,18.969,60.0,3.091,0.0
546,19.962,60.0,2.411,0.0
547,20.608,60.0,2.133,0.0
548,21.254,60.0,1.855,0.0
549,20.949,60.0,2.318,0.0
550,21.469,60.0,2.318,0.0
551,23.677,60.0,0.27,0.0
552,24.439,60.0,0.27,0.0
553,25.242,60.0,0.27,0.0
554,26.047,60.0,0.27,0.0
555,26.571,60.0,0.27,0.0
556,26.984,60.0,0.27,0.0
557,27.486,60.0,0.27,0.0
558,26.331,60.0,2.164,0.0
559,27.202,60.0,1.855,0.0
560,27.781,60.0,0.711,0.193
561,23.178,60.0,0.541,1.88
562,20.846,60.0,0.541,2.879
563,17.583,60.0,1.461,3.946
564,16.012,60.0,3.029,4.63
565,17.566,60.0,1.345,4.639
566,17.951,60.0,0.541,5.255
567,19.571,60.0,0.541,4.444
568,20.378,60.0,1.461,2.616
569,23.1,60.0,3.091,0.0
570,23.971,60.0,2.411,0.0
571,24.593,60.0,2.133,0.0
572,25.061,60.0,1.855,0.0
573,24.856,60.0,2.318,0.0
574,25.14,60.0,2.318,0.0
575,27.22,60.0,0.27,0.0
576,27.261,60.0,0.27,0.0
577,27.254,60.0,0.27,0.0
578,27.299,60.0,0.27,0.0
579,27.204,60.0,0.27,0.0
580,27.204,60.0,0.27,0.0
581,27.233,60.0,0.27,0.0
582,25.553,60.0,2.164,0.0
583,26.026,60.0,1.855,0.0
584,26.661,60.0,0.711,0.157
585,25.129,60.0,0.541,0.68
586,25.517,60.0,0.541,0.419
587,23.909,60.0,1.461,0.715
588,16.716,60.0,3.029,3.037
589,18.656,60.0,1.345,3.3
590,18.685,60.0,0.541,3.59
591,19.085,60.0,0.541,3.381
592,19.342,60.0,1.461,2.225
593,21.54,60.0,3.091,0.0
594,22.035,60.0,2.411,0.0
595,22.28,60.0,2.133,0.0
596,22.531,60.0,1.855,0.0
597,21.929,60.0,2.318,0.0
598,21.944,60.0,2.318,0.0
599,23.749,60.0,0.27,0.0
600,23.748,60.0,0.27,0.0
601,23.758,60.0,0.27,0.0
602,23.786,60.0,0.27,0.0
603,23.732,60.0,0.27,0.0
604,23.753,60.0,0.27,0.0
605,23.805,60.0,0.27,0.0
606,22.297,60.0,2.164,0.0
607,22.797,60.0,1.855,0.0
608,23.093,60.0,0.711,0.225
609,18.333,60.0,0.541,2.159
610,15.219,60.0,0.541,3.045
611,11.355,60.0,1.461,4.35
612,9.224,60.0,3.029,4.903
613,9.633,60.0,1.345,4.982
614,11.27,60.0,0.541,4.794
615,11.829,60.0,0.541,3.825
616,13.576,60.0,1.461,1.983
617,15.46,60.0,3.091,0.0
618,16.211,60.0,2.411,0.0
619,16.618,60.0,2.133,0.0
620,17.004,60.0,1.855,0.0
621,16.602,60.0,2.318,0.0
622,16.731,60.0,2.318,0.0
623,18.621,60.0,0.27,0.0
624,18.885,60.0,0.27,0.0
625,19.17,60.0,0.27,0.0
626,19.493,60.0,0.27,0.0
627,19.604,60.0,0.27,0.0
628,19.803,60.0,0.27,0.0
629,19.985,60.0,0.27,0.0
630,18.612,60.0,2.164,0.0
631,19.169,60.0,1.855,0.0
632,20.241,60.0,0.711,0.052
633,19.832,60.0,0.541,0.343
634,19.845,60.0,0.541,0.636
635,17.969,60.0,1.461,0.874
636,16.092,60.0,3.029,0.942
637,17.951,60.0,1.345,0.84
638,19.098,60.0,0.541,0.737
639,19.426,60.0,0.541,0.515
640,19.181,60.0,1.461,0.223
641,17.823,60.0,3.091,0.0
642,18.616,60.0,2.411,0.0
643,19.214,60.0,2.133,0.0
644,19.668,60.0,1.855,0.0
645,19.273,60.0,2.318,0.0
646,19.566,60.0,2.318,0.0
647,21.58,60.0,0.27,0.0
